text,category
Women feeling unsafe at night bus stop,SOCIAL
Drug peddling near school,SOCIAL
Alcohol shop causing nuisance in residential area,SOCIAL
Gambling den operating illegally,SOCIAL
Human trafficking suspicion,SOCIAL
Labor exploitation in construction site,SOCIAL
Minimum wage not paid to workers,SOCIAL
Sanitation workers without safety gear,SOCIAL
Scavenging manually practiced,SOCIAL
Public park used for illegal activities,SOCIAL
Playground equipment broken dangerous for kids,SOCIAL
Library closed since months,SOCIAL
Community hall in bad condition,SOCIAL
Street dogs biting pedestrians,SOCIAL
Monkey menace in residential colony,SOCIAL
Pig farm causing foul smell,SOCIAL
Dead animal lying on road not removed,SOCIAL
Mosquito fogging not done regularly,SOCIAL
Drains clogged with plastic waste,SOCIAL
A thief stole my wallet,SOCIAL
Robbery reported in the neighborhood,SOCIAL
My house was burglarized,SOCIAL
Stolen vehicle found abandoned,SOCIAL
Chain snatching incident near the park,SOCIAL
Thief caught by locals,SOCIAL
Shoplifting reported at the mall,SOCIAL
